Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Cycling,07-04-19 6:11,FALSE,Melbourne Cycling,160.31,"2,343",6:10:13,133,161,--,--,--,26,52.7,701,686,0,0,0,--,--,66,96,134,276,144,109,512,0,0,21810,--,--,--,0:00,8,0:00,No,01:18.0,161,0,--,--
Running,06-04-19 9:07,FALSE,Melbourne Running,17.62,"1,250",1:50:48,154,168,4.6,156,184,6:17,4:38,18,30,1.01,9.9,10,295,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,19,0:00,No,04:04.9,18,0,--,--
Open Water Swimming,06-04-19 7:43,FALSE,Port Phillip Bay Open Water Swimming,"2,205",478,0:43:45,--,--,--,--,--,1:59,0:43,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1216,44,27,--,0:00,18,0:00,No,00:00.0,1,0,--,--
Treadmill Running,05-04-19 5:40,FALSE,Treadmill Running,5.06,395,0:33:22,148,158,3.6,155,161,6:36,4:29,--,--,0.98,9.9,9.9,304,50.4% L / 49.6% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,00:22.7,6,0,--,--
Treadmill Running,04-04-19 15:53,FALSE,Treadmill Running,5.05,401,0:33:58,144,161,3.6,152,159,6:43,4:31,2,--,0.98,10.6,10.6,308,50.8% L / 49.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,00:21.0,6,0,--,--
Treadmill Running,02-04-19 11:56,FALSE,Treadmill Running,5.04,364,0:33:28,137,164,3.3,153,162,6:38,4:37,6,--,0.99,10.5,10.5,306,49.4% L / 50.6% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,00:18.0,6,0,--,--
Open Water Swimming,31-03-19 8:37,FALSE,Port Phillip Bay Open Water Swimming,"1,593",350,0:25:58,--,--,--,--,--,1:38,0:35,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,679,35,26,--,0:00,16,0:00,No,00:00.0,1,0,--,--
Open Water Swimming,27-03-19 16:22,FALSE,Port Phillip Bay Open Water Swimming,"2,187",478,0:39:20,--,--,--,--,--,1:48,0:45,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1153,40,29,--,0:00,20,0:00,No,00:00.0,1,0,--,--
Treadmill Running,27-03-19 11:52,FALSE,Treadmill Running,5.04,352,0:32:07,138,172,3.2,156,169,6:22,4:06,4,--,1,10,10.3,296,50.8% L / 49.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:16.2,6,0,--,--
Treadmill Running,26-03-19 12:01,FALSE,Treadmill Running,5.05,358,0:33:22,135,146,3.1,153,162,6:37,4:28,--,3,0.99,10.5,10.6,306,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,00:21.4,6,0,--,--
Running,24-03-19 8:33,FALSE,Melbourne Running,20.14,"1,299",2:35:07,136,151,3.2,141,186,7:42,4:51,116,110,0.9,9.9,8.7,363,50.3% L / 49.7% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,00:56.9,21,0,--,--
Open Water Swimming,24-03-19 7:24,FALSE,Port Phillip Bay Open Water Swimming,"2,226",488,0:38:15,--,--,--,--,--,1:43,0:48,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1138,39,29,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Cycling,23-03-19 6:47,FALSE,Melbourne Cycling,126.22,"1,701",4:48:09,131,160,--,--,--,26.3,48.7,515,487,0,0,0,--,--,68,103,132,209.2,128,102,546,0,0,16541,--,--,--,0:00,16,0:00,No,00:51.2,127,0,--,--
Treadmill Running,21-03-19 11:44,FALSE,Treadmill Running,5.05,315,0:33:41,125,150,2.4,154,174,6:40,5:12,3,--,0.98,10.8,10.7,297,50.4% L / 49.6% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:17.7,6,0,--,--
Open Water Swimming,20-03-19 16:35,FALSE,Port Phillip Bay - Open Water Swimming,"2,214",485,0:38:25,--,--,--,--,--,1:44,0:47,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1132,39,29,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Treadmill Running,20-03-19 12:04,FALSE,Treadmill Running,5.07,392,0:35:38,139,168,3.2,149,175,7:02,4:47,3,--,0.97,10.6,10.5,308,50.1% L / 49.9% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,02:09.0,6,0,--,--
Running,17-03-19 8:36,FALSE,Port Phillip Bay - Running,19.4,"1,273",2:26:46,141,160,3.8,142,248,7:34,3:17,114,110,0.9,10,9,349,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,20,0:00,No,03:02.4,20,0,--,--
Open Water Swimming,17-03-19 7:30,FALSE,Port Phillip Bay - Open Water Swimming,"2,100",460,0:36:30,--,--,--,--,--,1:44,0:40,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1108,39,30,--,0:00,20,0:00,No,00:00.0,1,0,--,--
Running,16-03-19 13:52,FALSE,Melbourne - Running,2,189,0:17:30,133,143,2.5,132,256,8:44,5:05,7,6,0.86,9.7,8.1,382,51.0% L / 49.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,00:03.7,3,0,--,--
Cycling,16-03-19 6:43,FALSE,Melbourne - Cycling,150.79,"1,942",5:49:58,138,167,--,--,--,25.9,54,690,663,0,0,0,--,--,67,102,124,224.5,122,96,587,0,0,20371,--,--,--,0:00,10,0:00,No,01:33.3,151,0,--,--
Running,15-03-19 6:52,FALSE,Melbourne - Running,5.26,365,0:32:26,143,159,3.1,158,196,6:10,4:27,33,33,0.95,10.6,9.9,296,50.0% L / 50.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,18,0:00,No,01:26.8,6,0,--,--
Treadmill Running,14-03-19 11:59,FALSE,Treadmill Running,5.04,407,0:34:02,144,170,3.7,154,165,6:45,5:39,4,--,0.96,10.9,10.7,304,52.0% L / 48.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,00:13.9,6,0,--,--
Running,14-03-19 6:56,FALSE,Melbourne - Running,1.25,93,07:35.5,148,162,2.5,161,178,6:05,5:09,5,7,0.9,11.1,9.4,286,51.4% L / 48.6% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,18,0:00,No,01:30.6,2,0,--,--
Cycling,14-03-19 5:30,FALSE,Melbourne - Cycling,36.35,546,1:16:13,146,161,--,--,--,28.6,41.5,81,67,0,0,0,--,--,74,106,138,59.9,126,123,486,0,0,5101,--,--,--,0:00,12,0:00,No,01:11.1,37,0,--,--
Treadmill Running,12-03-19 12:04,FALSE,Treadmill Running,5.05,403,0:34:10,141,165,3.3,152,163,6:46,5:05,--,2,0.98,11,11,304,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:19.6,6,0,--,--
Other,11-03-19 18:46,FALSE,DYN,0,--,01:14.2,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,33,0:00,No,00:08.8,4,0,--,--
Cycling,02-03-19 5:54,FALSE,Melbourne - Cycling,130.51,"1,777",5:06:40,140,164,--,--,--,25.5,49.5,658,657,0,0,0,--,--,69,99,129,212.9,129,100,491,0,0,18737,--,--,--,0:00,20,0:00,No,01:26.3,131,0,--,--
Running,28-02-19 6:53,FALSE,Melbourne Running,5.05,362,0:31:05,145,164,3.2,154,197,6:09,4:35,28,33,0.96,10.6,9.9,296,50.6% L / 49.4% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,05:42.4,6,0,--,--
Open Water Swimming,27-02-19 16:35,FALSE,Port Phillip Bay Open Water Swimming,"2,064",449,0:39:03,--,--,--,--,--,1:54,0:47,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1162,42,29,--,0:00,22,0:00,No,00:00.0,1,0,--,--
Treadmill Running,27-02-19 12:04,FALSE,Treadmill Running,5.04,395,0:34:15,139,161,3.1,153,163,6:48,4:17,3,--,0.97,10.9,10.7,302,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,06:30.0,6,0,--,--
Treadmill Running,26-02-19 12:04,FALSE,Treadmill Running,5.03,408,0:33:01,148,169,3.6,154,163,6:34,5:40,3,--,0.99,10.9,11,294,48.7% L / 51.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,06:24.8,6,0,--,--
Running,26-02-19 6:49,FALSE,Melbourne Running,1.11,77,06:28.4,146,158,2.2,162,180,5:50,4:06,4,6,0.98,11.6,10.2,282,50.0% L / 50.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,22,0:00,No,05:35.8,2,0,--,--
Cycling,26-02-19 5:24,FALSE,Melbourne Cycling,36.32,506,1:16:56,134,156,--,--,--,28.3,41.7,81,66,0,0,0,--,--,74,99,130,53.5,126,113,503,0,0,5121,--,--,--,0:00,18,0:00,No,01:42.4,37,0,--,--
Running,24-02-19 8:25,FALSE,Melbourne Running,17.1,"1,101",2:02:54,136,154,3,146,188,7:11,5:12,99,107,0.92,10.4,9.3,337,50.6% L / 49.4% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,22,0:00,No,05:53.2,18,0,--,--
Open Water Swimming,24-02-19 7:06,FALSE,Port Phillip Bay Open Water Swimming,"2,417",373,0:42:11,119,125,2.1,--,--,1:45,0:49,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1310,40,30,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Running,23-02-19 12:28,FALSE,Melbourne Running,2.04,147,0:12:07,147,160,2.8,160,213,5:57,5:17,4,3,1.03,10.1,10.3,283,51.0% L / 49.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,24,0:00,No,05:50.1,3,0,--,--
Cycling,23-02-19 6:42,FALSE,Melbourne Cycling,126.58,"1,741",4:52:51,133,167,--,--,--,25.9,54.4,660,677,0,0,0,--,--,67,95,130,206,121,102,465,0,0,17777,--,--,--,0:00,14,0:00,No,01:15.0,127,0,--,--
Running,21-02-19 7:02,FALSE,Melbourne Running,5.03,347,0:29:12,146,159,3.4,160,180,5:49,4:18,31,38,1.02,10.2,10.3,286,50.0% L / 50.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,19,0:00,No,05:26.4,6,0,--,--
Open Water Swimming,20-02-19 16:41,FALSE,Port Phillip Bay Open Water Swimming,"2,231",488,0:39:45,--,--,--,--,--,1:47,0:54,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1263,41,31,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Treadmill Running,20-02-19 12:04,FALSE,Treadmill Running,5.04,422,0:32:25,--,--,--,157,169,6:26,5:10,1,--,0.99,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,06:17.7,6,0,--,--
Treadmill Running,19-02-19 12:20,FALSE,Treadmill Running,5.04,423,0:32:43,--,--,--,157,167,6:29,5:14,3,--,0.98,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,06:14.4,6,0,--,--
Open Water Swimming,17-02-19 12:08,FALSE,Port Phillip Bay Open Water Swimming,"3,944",882,0:47:55,--,--,--,--,--,1:13,0:32,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1410,27,29,--,0:00,20,0:00,No,00:00.0,1,0,--,--
Running,16-02-19 12:43,FALSE,Melbourne Running,2.11,160,0:12:38,152,163,2.8,156,173,6:00,5:10,2,1,1.04,10.1,10.5,296,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,05:54.9,3,0,--,--
Cycling,16-02-19 6:39,FALSE,Melbourne Cycling,100.84,"1,950",4:44:26,123,161,--,--,--,21.3,51.8,"1,182","1,152",0,0,0,--,--,64,123,157,291.9,153,117,485,0,0,14480,--,--,--,0:00,15,0:00,No,01:36.2,101,0,--,--
Treadmill Running,14-02-19 6:57,FALSE,Treadmill Running,5.06,424,0:33:23,--,--,--,156,167,6:36,5:24,--,2,0.97,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,24,0:00,No,06:17.3,6,0,--,--
Open Water Swimming,13-02-19 16:18,FALSE,Port Phillip Bay Open Water Swimming,"2,224",374,0:41:32,123,130,2.1,--,--,1:52,0:35,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1278,42,30,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Treadmill Running,13-02-19 11:57,FALSE,Treadmill Running,5.05,422,0:32:55,--,--,--,157,167,6:31,5:30,--,2,0.98,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,06:21.4,6,0,--,--
Treadmill Running,12-02-19 12:04,FALSE,Treadmill Running,5.05,382,0:33:54,139,166,3.2,154,167,6:43,5:44,1,3,0.97,11.6,11.4,291,50.2% L / 49.8% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,06:36.0,6,0,--,--
Running,12-02-19 6:54,FALSE,Melbourne Running,1.1,74,06:45.8,134,149,1.9,158,183,6:09,5:00,9,8,0.96,11.7,9.8,296,50.3% L / 49.7% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,06:15.9,2,0,--,--
Cycling,12-02-19 5:23,FALSE,Melbourne Cycling,36.34,498,1:22:55,115,138,--,--,--,26.3,40.8,99,81,0,0,0,--,--,71,91,121,50,111,103,445,0,0,5277,--,--,--,0:00,17,0:00,No,01:47.1,37,0,--,--
Open Water Swimming,11-02-19 16:36,FALSE,Port Phillip Bay Open Water Swimming,"3,012",489,0:53:29,122,132,2.2,--,--,1:46,0:53,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1670,40,31,--,0:00,23,0:00,No,00:00.0,1,0,--,--
Running,10-02-19 11:00,FALSE,Melbourne Running,8.34,483,1:01:11,126,149,2.4,144,197,7:20,4:47,33,40,0.86,10.9,9,352,50.4% L / 49.6% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,05:54.7,9,0,--,--
Cycling,09-02-19 6:43,FALSE,Melbourne Cycling,92.35,"1,771",4:18:02,125,154,--,--,--,21.5,53.7,970,974,0,0,0,--,--,64,148,146,229.4,154,118,453,0,0,14281,--,--,--,0:00,11,0:00,No,01:25.3,93,0,--,--
Treadmill Running,08-02-19 5:48,FALSE,Treadmill Running,5.06,402,0:32:50,151,164,3.5,156,172,6:29,4:01,2,--,1.01,9.5,9.8,296,50.1% L / 49.9% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,06:09.4,6,0,--,--
Treadmill Running,07-02-19 11:53,FALSE,Treadmill Running,5.05,379,0:32:03,143,172,3.4,158,165,6:21,5:27,2,--,1,10.1,10.3,292,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,06:15.3,6,0,--,--
Treadmill Running,06-02-19 12:02,FALSE,Treadmill Running,5.05,357,0:32:48,135,156,2.9,157,168,6:30,4:59,3,1,0.99,10,10.1,298,51.4% L / 48.6% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,06:13.5,6,0,--,--
Open Water Swimming,06-02-19 6:06,FALSE,Port Phillip Bay Open Water Swimming,"2,112",462,0:39:14,--,--,--,--,--,1:51,0:36,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1171,42,29,--,0:00,22,0:00,No,00:00.0,1,0,--,--
Treadmill Running,05-02-19 11:58,FALSE,Treadmill Running,5.06,391,0:32:17,146,172,3.5,156,166,6:22,5:31,3,--,1.02,10.2,10.5,293,50.6% L / 49.4% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,06:07.1,6,0,--,--
Running,05-02-19 6:43,FALSE,Melbourne Running,1.08,67,06:05.5,137,153,2,164,186,5:37,4:39,2,6,0.96,11.2,9.4,282,50.0% L / 50.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,05:33.0,2,0,--,--
Cycling,05-02-19 5:27,FALSE,Melbourne Cycling,31.42,464,1:10:28,122,147,--,--,--,26.8,44.2,144,155,0,0,0,--,--,71,91,135,53.3,127,114,427,0,0,4631,--,--,--,0:00,16,0:00,No,01:29.9,32,0,--,--
Open Water Swimming,04-02-19 6:10,FALSE,Port Phillip Bay Open Water Swimming,"1,424",226,0:29:22,111,117,1.7,--,--,2:04,0:59,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,856,46,29,--,0:00,22,0:00,No,00:00.0,1,0,--,--
Running,03-02-19 6:26,FALSE,Melbourne Running,14.32,891,1:33:32,137,154,3,151,240,6:32,4:47,49,58,0.99,9.9,9.8,320,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,05:58.7,15,0,--,--
Cycling,02-02-19 12:50,FALSE,Cycling,0,--,01:33.5,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,00:00.0,1,0,--,--
Treadmill Running,01-02-19 11:56,FALSE,Treadmill Running,5.07,361,0:33:00,137,165,3.2,155,166,6:30,5:12,5,1,1,10.6,10.9,295,50.6% L / 49.4% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,06:21.0,6,0,--,--
Open Water Swimming,01-02-19 6:02,FALSE,Port Phillip Bay Open Water Swimming,"2,107",320,0:40:03,116,126,2,--,--,1:54,0:43,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1245,43,31,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Running,31-01-19 7:12,FALSE,Melbourne Running,1.03,68,05:58.3,140,154,2,162,179,5:47,4:15,2,5,0.88,12.8,9.7,283,50.2% L / 49.8% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,05:40.3,2,0,--,--
Cycling,31-01-19 5:24,FALSE,Melbourne Cycling,46.46,725,1:38:35,131,151,--,--,--,28.3,40.1,145,146,0,0,0,--,--,74,95,147,88.3,135,125,487,0,0,6299,--,--,--,0:00,17,0:00,No,01:36.7,47,0,--,--
Treadmill Running,30-01-19 11:57,FALSE,Treadmill Running,5.1,353,0:33:28,135,161,3.1,154,175,6:34,5:03,6,--,1.01,10.5,10.7,298,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,00:00.0,6,0,--,--
Open Water Swimming,30-01-19 6:08,FALSE,Port Phillip Bay Open Water Swimming,"2,125",368,0:39:50,121,132,2.2,--,--,1:52,1:00,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1263,43,31,--,0:00,24,0:00,No,00:00.0,1,0,--,--
Treadmill Running,29-01-19 6:04,FALSE,Treadmill Running,6.1,458,0:40:50,140,162,3.6,153,175,6:42,5:42,1,1,0.98,10.6,10.6,308,50.4% L / 49.6% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,25,0:00,No,00:00.0,7,0,--,--
Running,28-01-19 12:01,FALSE,Melbourne Running,2.04,168,0:14:46,142,153,2.9,145,173,7:14,5:06,3,2,0.93,10.4,9.3,341,50.9% L / 49.1% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,00:00.0,3,0,--,--
Cycling,28-01-19 6:35,FALSE,Melbourne Cycling,110.5,"1,468",4:22:45,123,150,--,--,--,25.2,52.5,489,475,0,0,0,--,--,68,95,121,159.7,130,96,367,0,0,15979,--,--,--,0:00,14,0:00,No,00:00.0,111,0,--,--
Running,27-01-19 6:15,FALSE,Melbourne Running,15.11,902,1:42:59,134,152,3,150,183,6:49,5:02,32,49,0.96,10.1,9.7,314,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,20,0:00,No,00:00.0,16,0,--,--
Open Water Swimming,26-01-19 8:00,FALSE,Port Phillip Bay Open Water Swimming,"5,577","1,239",1:43:49,--,--,--,--,--,1:52,0:18,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,3252,42,31,--,0:00,22,0:00,No,00:00.0,1,0,--,--
Open Water Swimming,24-01-19 16:30,FALSE,Port Phillip Bay Open Water Swimming,"3,010",685,1:10:49,--,--,--,--,--,2:21,0:53,--,--,0.76,0,0,--,--,--,--,--,0,--,--,--,0,0,1952,--,29,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Running,24-01-19 6:51,FALSE,Melbourne Running,5.06,348,0:31:18,144,160,3.3,158,190,6:11,4:03,33,36,0.99,10.1,9.7,289,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,00:00.0,6,0,--,--
Treadmill Running,23-01-19 12:16,FALSE,Treadmill Running,5.08,393,0:34:42,143,163,4,153,183,6:50,4:33,3,2,0.95,10.9,10.6,301,51.1% L / 48.9% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,00:00.0,6,0,--,--
Open Water Swimming,23-01-19 6:02,FALSE,Port Phillip Bay Open Water Swimming,"2,106",367,0:41:14,122,130,2.4,--,--,1:57,0:59,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1273,44,30,--,0:00,23,0:00,No,00:00.0,1,0,--,--
Running,22-01-19 6:55,FALSE,Melbourne Running,1.21,88,08:31.9,133,144,2.2,152,177,7:04,4:40,4,6,0.88,10.5,8.6,333,50.8% L / 49.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,22,0:00,No,00:00.0,2,0,--,--
Cycling,22-01-19 5:26,FALSE,Melbourne Cycling,36.28,510,1:21:16,124,146,--,--,--,26.8,40.7,80,66,0,0,0,--,--,73,95,126,53.6,118,109,412,0,0,5239,--,--,--,0:00,18,0:00,No,00:00.0,37,0,--,--
Open Water Swimming,21-01-19 6:00,FALSE,Port Phillip Bay Open Water Swimming,"1,809",265,0:35:38,113,119,2.1,--,--,1:58,0:22,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1007,43,28,--,0:00,22,0:00,No,00:00.0,1,0,--,--
Open Water Swimming,20-01-19 9:08,FALSE,Port Phillip Bay Open Water Swimming,"2,950",643,0:56:24,--,--,--,--,--,1:55,0:40,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1677,43,29,--,0:00,22,0:00,No,00:00.0,1,0,--,--
Running,20-01-19 6:51,FALSE,Melbourne Running,12.4,803,1:28:28,135,149,3.1,148,190,7:08,4:39,67,87,0.92,10,9.1,332,50.4% L / 49.6% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,20,0:00,No,00:00.0,13,0,--,--
Cycling,19-01-19 6:35,FALSE,Melbourne Cycling,104.13,"1,930",4:55:36,125,160,--,--,--,21.1,49.1,"1,198","1,200",0,0,0,--,--,62,96,142,249.3,154,112,423,0,0,15512,--,--,--,0:00,13,0:00,No,00:00.0,105,0,--,--
Treadmill Running,18-01-19 12:00,FALSE,Treadmill Running,5.1,410,0:34:36,147,170,4.2,154,170,6:47,3:47,2,4,0.96,10.7,10.5,303,50.9% L / 49.1% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:00.0,6,0,--,--
Open Water Swimming,18-01-19 6:00,FALSE,Port Phillip Bay Open Water Swimming,"2,347",517,0:39:16,--,--,--,--,--,1:40,0:28,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1180,38,29,--,0:00,23,0:00,No,00:00.0,1,0,--,--
Treadmill Running,16-01-19 11:27,FALSE,Treadmill Running,5.09,394,0:34:42,143,167,3.9,154,164,6:49,5:11,1,1,0.95,11.1,10.7,301,50.3% L / 49.8% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,00:00.0,6,0,--,--
Open Water Swimming,16-01-19 6:06,FALSE,Port Phillip Bay Open Water Swimming,"2,187",476,0:41:29,--,--,--,--,--,1:54,0:49,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1291,43,31,--,0:00,23,0:00,No,00:00.0,1,0,--,--
Running,15-01-19 7:00,FALSE,Melbourne Running,1.13,85,07:28.9,142,153,2.4,154,178,6:37,5:02,5,4,0.9,11.1,9.5,306,49.8% L / 50.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,00:00.0,2,0,--,--
Cycling,15-01-19 5:27,FALSE,Melbourne Cycling,38.09,537,1:22:36,134,156,--,--,--,27.7,39.4,84,65,0,0,0,--,--,73,104,132,59.5,120,112,539,0,0,5266,--,--,--,0:00,18,0:00,No,00:00.0,39,0,--,--
Running,14-01-19 5:53,FALSE,Melbourne Running,6.1,366,0:42:13,129,149,2.9,148,191,6:55,4:24,37,38,0.94,10.1,9.4,318,50.4% L / 49.6% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,00:00.0,7,0,--,--
Open Water Swimming,13-01-19 7:30,FALSE,Port Phillip Bay Open Water Swimming,"5,198","1,125",1:46:35,--,--,--,--,--,2:03,0:44,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,3167,46,29,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Open Water Swimming,12-01-19 13:10,FALSE,Lorne Open Water Swimming,"1,158",252,0:20:57,--,--,--,--,--,1:49,0:46,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,634,41,30,--,0:00,19,0:00,No,00:00.0,1,0,--,--
Open Water Swimming,12-01-19 12:38,FALSE,Lorne Open Water Swimming,214,47,04:03.3,--,--,--,--,--,1:54,1:00,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,117,42,28,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Running,12-01-19 5:43,FALSE,Melbourne Running,7.1,519,0:53:01,--,--,--,143,248,7:28,4:53,30,39,0.93,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,00:00.0,8,0,--,--
Running,11-01-19 6:44,FALSE,Melbourne Running,2.09,157,0:14:27,--,--,--,152,248,6:54,4:35,6,4,0.96,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,18,0:00,No,00:00.0,3,0,--,--
Cycling,11-01-19 5:25,FALSE,Melbourne Cycling,31.72,490,1:08:05,134,158,--,--,--,27.9,45.4,142,132,0,0,0,--,--,73,139,147,60.5,145,123,468,0,0,4647,--,--,--,0:00,12,0:00,No,00:00.0,32,0,--,--
Running,10-01-19 6:55,FALSE,Melbourne Running,5.11,358,0:34:48,137,154,3.1,151,183,6:49,4:34,35,38,0.94,10.1,9.5,327,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,19,0:00,No,00:00.0,6,0,--,--
