Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Treadmill Running,28-05-19 12:06,FALSE,Treadmill Running,5.05,365,0:35:08,127,137,2.1,152,163,6:58,5:48,6,--,0.94,11.2,10.7,313,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,24,0:00,No,00:19.8,6,0,--,--
Pool Swimming,27-05-19 6:04,FALSE,Lap Swimming,"2,200",550,0:43:53,--,--,--,--,--,2:00,1:43,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1094,34,25,--,0:00,0,0:00,No,03:03.9,3,0,--,--
Running,26-05-19 7:06,FALSE,Melbourne Running,34.11,"1,969",4:17:01,123,148,3,145,184,7:32,5:00,94,97,0.89,10.2,9,340,50.8% L / 49.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,12,0:00,No,00:44.4,35,0,--,--
Running,25-05-19 15:50,FALSE,Melbourne Running,10.21,831,1:12:04,139,155,3,146,173,7:04,5:00,26,31,0.94,10.3,9.7,315,50.6% L / 49.4% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,19,0:00,No,01:35.8,11,0,--,--
Cycling,25-05-19 6:11,FALSE,Melbourne Cycling,202.09,"3,187",7:39:59,138,163,--,--,--,26.4,56.1,"1,044","1,523",0,0,0,--,--,61,102,147,0,151,117,596,0,0,--,--,--,--,0:00,12,0:00,No,01:03.9,203,0,--,--
Running,23-05-19 12:15,FALSE,Melbourne Running,5.07,340,0:28:19,136,160,3,160,190,5:35,4:12,31,35,1.02,10.5,10.3,281,50.2% L / 49.8% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,23,0:00,No,00:25.2,6,0,--,--
Running,23-05-19 6:50,FALSE,Melbourne Running,2.08,135,0:10:57,138,150,2.3,164,191,5:15,2:03,6,4,1.07,10.1,10,275,50.0% L / 50.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,15,0:00,No,00:34.5,3,0,--,--
Cycling,23-05-19 5:17,FALSE,Melbourne Cycling,36.42,623,1:18:48,123,147,--,--,--,27.7,40.5,85,63,0,0,0,--,--,73,96,152,75.4,145,135,586,0,0,5246,--,--,--,0:00,9,0:00,No,01:24.7,37,0,--,--
Open Water Swimming,22-05-19 16:12,FALSE,Port Phillip Bay Open Water Swimming,"2,222",515,0:39:56,--,--,--,--,--,1:48,0:49,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1248,41,31,--,0:00,15,0:00,No,00:00.0,1,0,--,--
Running,22-05-19 11:50,FALSE,Melbourne Running,5.03,317,0:28:36,136,167,2.6,161,195,5:41,4:34,28,33,1,10.9,10.5,280,49.7% L / 50.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,22,0:00,No,00:14.9,6,0,--,--
Running,21-05-19 6:52,FALSE,Melbourne Running,2.05,152,0:12:24,136,151,2.3,161,176,6:03,4:13,4,86,0.99,10.7,10.1,283,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,16,0:00,No,00:21.1,3,0,--,--
Cycling,21-05-19 5:26,FALSE,Melbourne Cycling,36.34,615,1:17:01,124,142,--,--,--,28.3,41.5,75,68,0,0,0,--,--,71,92,151,72.5,147,136,502,0,0,5084,--,--,--,0:00,10,0:00,No,01:14.8,37,0,--,--
Running,19-05-19 10:58,FALSE,Melbourne Running,10.08,521,1:25:13,111,134,2.1,138,171,8:27,5:53,28,27,0.86,9.8,8.1,359,50.8% L / 49.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,16,0:00,No,00:01.0,12,0,--,--
