Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Cycling,8/02/2020 6:27,FALSE,Melbourne Cycling,141.47,"2,135",4:28:29,143,184,3.3,--,--,31.6,57,"2,610","2,698",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,6/02/2020 18:26,FALSE,Melbourne Running,16.03,918,1:31:08,149,175,3.6,142,197,5:41,3:04,402,406,1.25,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:32.3,46,0
Cycling,6/02/2020 5:22,FALSE,Melbourne Cycling,48.79,818,1:33:31,138,173,3.5,--,--,31.3,49.8,982,"1,024",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,5/02/2020 5:46,FALSE,Lap Swimming,"3,650",696,1:15:23,--,--,--,--,--,1:48,0:27,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1860,80,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Indoor Cycling,4/02/2020 18:30,FALSE,Indoor Cycling,33.36,822,1:30:07,140,164,3.1,--,--,22.2,32.7,--,--,0,0,0,79,117,--,0,--,--,--,0,0,7112,--,--,--,--,0:00,0,0:00,No,09:51.7,7,0
Running,4/02/2020 5:47,FALSE,Melbourne Running,14.11,886,1:14:10,160,185,4.5,163,191,5:15,3:28,378,390,1.17,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:32.4,25,0
Pool Swimming,3/02/2020 18:27,FALSE,Lap Swimming,"2,450",427,1:11:00,--,--,--,--,--,1:00:00,1:06,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1649,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,2/02/2020 11:18,FALSE,Melbourne Running,8.02,453,0:40:03,151,170,3.6,171,181,5:00,4:25,274,289,1.17,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.8,9,0
Cycling,2/02/2020 6:01,FALSE,Melbourne Cycling,140.53,"2,058",4:41:14,131,162,3.3,--,--,30,58,"2,579","2,596",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,1/02/2020 6:52,FALSE,Melbourne Running,20.03,"1,271",1:44:58,162,180,4.7,168,238,5:14,4:33,638,699,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:09.8,21,0
