Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Pool Swimming,9/12/2019 18:15,FALSE,Lap Swimming,"3,850",736,1:13:17,--,--,--,--,--,1:42,0:30,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1656,72,25,--,--,0:00,0,0:00,No,00:00.0,1,0
Multisport,8/12/2019 8:02,FALSE,Port Phillip Bay Multi-Sport,52.42,"1,515",2:31:39,--,188,5,--,--,20.7,--,885,874,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,5,0
Cycling,7/12/2019 6:28,FALSE,Melbourne Cycling,121.22,"1,988",4:22:46,141,170,3.4,--,--,27.7,55,"2,092","2,222",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,5/12/2019 18:03,FALSE,Melbourne Running,12.36,728,1:03:16,155,171,3.7,169,179,5:07,4:29,374,423,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:15.0,14,0
Cycling,5/12/2019 5:32,FALSE,Melbourne Cycling,41.75,769,1:21:17,143,176,3.6,--,--,30.8,44.1,"1,184","1,092",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,4/12/2019 5:45,FALSE,Lap Swimming,"3,400",618,1:15:55,--,--,--,--,--,1:55,1:03,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1861,85,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,3/12/2019 5:48,FALSE,Melbourne Running,13.13,753,1:14:10,148,184,3.3,157,195,5:39,3:14,378,392,1.2,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,01:06.5,25,0
Pool Swimming,2/12/2019 18:15,FALSE,Lap Swimming,"4,150",788,1:11:11,--,--,--,--,--,1:31,0:24,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1854,68,29,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,2/12/2019 5:42,FALSE,Zwift - NYC,32.69,646,1:18:00,--,--,0,--,--,25.1,77.2,604,--,0,0,0,64,89,153,0,168,144,379,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,1/12/2019 8:03,FALSE,Melbourne Running,15.63,961,1:24:08,154,178,4.1,169,179,5:23,4:41,268,277,1.1,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,03:19.2,16,0
Cycling,30/11/2019 6:25,FALSE,Melbourne Cycling,115.66,"1,732",4:08:34,126,168,3.1,--,--,27.9,56.6,"1,900","2,007",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,28/11/2019 18:27,FALSE,Melbourne Running,11.5,657,1:04:14,146,171,3.4,155,182,5:35,4:02,365,388,1.52,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:23.4,17,0
Cycling,28/11/2019 5:24,FALSE,Melbourne Cycling,43.62,767,1:28:44,135,173,3.3,--,--,29.5,45.3,742,806,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,27/11/2019 5:45,FALSE,Lap Swimming,"3,450",623,1:10:09,--,--,--,--,--,1:51,0:25,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1814,82,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,26/11/2019 5:47,FALSE,Melbourne Running,13.02,824,1:18:16,154,190,3.9,146,191,6:00,3:17,407,424,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:33.3,33,0
Pool Swimming,25/11/2019 18:17,FALSE,Lap Swimming,"3,700",691,1:15:28,--,--,--,--,--,1:45,0:30,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1738,76,27,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,24/11/2019 8:27,FALSE,Melbourne Running,14.02,869,1:14:29,157,179,4,167,174,5:19,4:51,432,441,1.12,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:07.3,15,0
Open Water Swimming,24/11/2019 7:13,FALSE,Port Phillip Bay Open Water Swimming,"1,929",349,0:39:33,--,--,--,--,--,2:03,0:06,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1125,45,28,--,--,0:00,0,0:00,No,08:36.1,4,0
Running,23/11/2019 10:39,FALSE,Melbourne Running,3.03,158,0:15:20,140,153,2.2,172,179,5:03,4:08,76,113,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:09.6,4,0
Cycling,23/11/2019 6:33,FALSE,Melbourne Cycling,102,"1,718",3:27:01,136,171,3.2,--,--,29.6,52.6,"1,866","1,863",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,22/11/2019 5:46,FALSE,Lap Swimming,"3,700",695,1:14:12,--,--,--,--,--,1:51,0:31,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1919,81,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,21/11/2019 18:07,FALSE,Melbourne Running,11.01,706,1:07:18,149,165,3.4,146,179,6:07,4:08,209,197,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:01.5,19,0
Cycling,19/11/2019 5:22,FALSE,Melbourne Cycling,34.08,555,1:08:11,133,159,2.7,--,--,30,47.7,480,480,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,18/11/2019 18:15,FALSE,Lap Swimming,"3,800",708,1:15:17,--,--,--,--,--,1:43,0:26,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1845,76,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,17/11/2019 8:14,FALSE,Melbourne Running,13.01,789,1:08:52,155,180,4.1,170,181,5:18,4:31,270,284,1.11,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:02.8,14,0
Running,16/11/2019 10:04,FALSE,Melbourne Running,3.02,168,0:15:42,145,167,2.5,172,181,5:12,4:44,69,116,1.12,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:07.4,4,0
Cycling,16/11/2019 6:23,FALSE,Melbourne Cycling,99.65,"1,865",3:15:49,152,189,4.4,--,--,30.5,56.8,"1,509","1,593",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,15/11/2019 6:01,FALSE,Melbourne Running,10.3,628,0:56:26,152,183,3.7,161,194,5:29,3:36,234,252,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:29.3,15,0
Cycling,14/11/2019 5:24,FALSE,Melbourne Cycling,48.86,856,1:31:43,142,185,4,--,--,32,43.8,589,644,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,13/11/2019 5:45,FALSE,Lap Swimming,"3,950",799,1:12:00,--,--,--,--,--,1:36,0:31,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1697,70,27,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,12/11/2019 5:47,FALSE,Melbourne Running,10.66,647,0:57:36,156,175,3.6,163,193,5:24,3:18,321,336,1.13,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:33.7,25,0
Pool Swimming,11/11/2019 18:15,FALSE,Lap Swimming,"4,300",855,1:17:16,--,--,--,--,--,1:37,0:24,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1833,70,26,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,11/11/2019 6:20,FALSE,Zwift - Rachel Madden's Meetup - 2018 UCI Worlds Short Lap,17.73,426,0:44:11,--,--,0,--,--,24.1,83.1,431,--,0,0,0,67,83,174,0,184,168,382,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,11/11/2019 6:01,FALSE,Zwift - Innsbruck,5.91,86,0:15:46,--,--,0,--,--,22.5,58.2,64,--,0,0,0,58,75,101,0,--,98,423,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,10/11/2019 9:09,FALSE,Melbourne Running,15.01,924,1:21:15,157,171,4.3,163,183,5:25,4:38,331,350,1.14,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:02.5,16,0
Cycling,9/11/2019 6:25,FALSE,Melbourne Cycling,102.08,"1,799",3:39:20,140,166,3.4,--,--,27.9,48.8,"1,643","1,636",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,8/11/2019 5:45,FALSE,Lap Swimming,"3,400",626,1:15:01,--,--,--,--,--,1:51,0:39,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1779,82,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,7/11/2019 5:30,FALSE,Zwift - London,31.23,561,1:02:23,--,--,0,--,--,30,78.1,262,--,0,0,0,66,80,168,0,187,159,348,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,6/11/2019 5:45,FALSE,Lap Swimming,"3,350",635,1:16:53,--,--,--,--,--,1:49,0:25,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1698,80,28,--,--,0:00,0,0:00,No,00:00.0,1,0
Cycling,5/11/2019 7:14,FALSE,Melbourne Cycling,71.1,996,2:29:13,120,166,2.5,--,--,28.6,41.8,"1,322","1,302",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,4/11/2019 7:25,FALSE,Melbourne Running,13.02,803,1:07:47,159,185,4.6,171,181,5:12,4:26,296,312,1.13,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:07.6,14,0
Running,3/11/2019 10:46,FALSE,Melbourne Running,3.05,154,0:14:40,140,151,2.3,174,185,4:49,4:17,66,72,1.19,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:13.9,4,0
Cycling,3/11/2019 6:54,FALSE,Melbourne Cycling,101.33,"1,626",3:22:17,141,168,3.2,--,--,30.1,45.3,"1,543","1,606",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Pool Swimming,1/11/2019 5:44,FALSE,Lap Swimming,"3,500",652,1:15:41,--,--,--,--,--,1:56,0:35,--,--,0,0,0,--,--,--,0,--,--,--,0,0,2035,87,30,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,31/10/2019 6:00,FALSE,Melbourne Running,11.05,708,0:57:49,162,179,4.7,169,179,5:14,4:34,319,310,1.13,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:16.3,12,0
Pool Swimming,30/10/2019 5:48,FALSE,Lap Swimming,"4,450",884,1:12:12,--,--,--,--,--,1:21,0:29,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1426,56,24,--,--,0:00,0,0:00,No,00:00.0,1,0
Cycling,29/10/2019 5:29,FALSE,Melbourne Cycling,39.45,690,1:16:37,138,174,3.2,--,--,30.9,45.8,629,678,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Open Water Swimming,28/10/2019 18:25,FALSE,Port Phillip Bay Open Water Swimming,"1,060",189,0:43:12,--,--,--,--,--,4:04,0:16,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1355,93,31,--,--,0:00,0,0:00,No,11:39.4,3,0
Cycling,27/10/2019 6:59,FALSE,Melbourne Cycling,96.44,"1,556",3:10:10,140,175,3.2,--,--,30.4,43.6,"1,477","1,446",0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Running,26/10/2019 7:57,FALSE,Melbourne Running,12.12,718,1:02:37,154,171,4.1,169,178,5:10,4:35,313,337,1.15,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:35.0,13,0
Running,24/10/2019 18:33,FALSE,Melbourne Running,9.08,643,0:53:04,162,183,4.5,142,183,5:51,4:04,282,304,1.22,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:28.1,23,0
Cycling,24/10/2019 5:27,FALSE,Melbourne Cycling,52.3,"1,109",1:38:14,156,184,5,--,--,32,47.9,925,999,0,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:00.0,1,0
Virtual Cycling,22/10/2019 18:59,FALSE,Zwift,21.47,420,0:55:36,--,--,0,--,--,23.2,78.6,395,--,0,0,0,66,88,142,0,149,131,273,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.0,22,0
Running,22/10/2019 5:46,FALSE,Melbourne Running,13.17,805,1:12:14,152,168,3.9,165,189,5:29,3:36,597,531,1.1,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:36.1,25,0
Running,11/10/2019 7:37,FALSE,Hawaii County Running,10.09,627,0:54:33,153,188,4.1,164,183,5:25,4:18,330,307,1.13,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:24.5,11,0
Open Water Swimming,10/10/2019 8:26,FALSE,Hawaii County Open Water Swimming,973,171,0:18:14,--,--,--,--,--,1:52,0:59,--,--,0,0,0,--,--,--,0,--,--,--,0,0,563,43,30,--,--,0:00,0,0:00,No,08:53.3,2,0
Running,10/10/2019 7:11,FALSE,Hawaii County Running,4.36,266,0:27:28,140,165,2.4,154,181,6:18,4:45,127,121,1.02,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,03:01.5,5,0
Running,9/10/2019 7:22,FALSE,Hawaii County Running,10.01,631,0:53:35,155,185,4.2,169,179,5:21,4:48,330,337,1.1,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:04.3,11,0
Open Water Swimming,7/10/2019 8:08,FALSE,Hawaii County Open Water Swimming,"3,060",539,0:59:35,--,--,--,--,--,1:57,0:45,--,--,0,0,0,--,--,--,0,--,--,--,0,0,1883,45,31,--,--,0:00,0,0:00,No,01:09.8,7,0
Running,6/10/2019 7:02,FALSE,Hawaii County Running,9.03,563,0:48:20,154,172,3.9,168,177,5:21,4:47,276,275,1.11,0,0,--,--,--,0,--,--,--,0,0,--,--,--,--,--,0:00,0,0:00,No,00:10.8,10,0
